+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION        | CVE DESCRIPTION                                            |
|            |                         |                          |                        | issues. Upstream acknowledges Nimrod Aviram and Sebastian  |
|            |                         |                          |                        | Schinzel as the original reporters of CVE-2016-0800        |
|            |                         |                          |                        | and CVE-2015-3197; Adam Langley (Google/BoringSSL) as      |
|            |                         |                          |                        | the original reporter of CVE-2016-0705; Yuval Yarom        |
|            |                         |                          |                        | (University of Adelaide and NICTA), Daniel Genkin          |
|            |                         |                          |                        | (Technion and Tel Aviv University), Nadia Heninger         |
|            |                         |                          |                        | (University of Pennsylvania) as the original reporters     |
|            |                         |                          |                        | of CVE-2016-0702; and Guido Vranken as the original        |
|            |                         |                          |                        | reporter of CVE-2016-0797. All openssl users are advised   |
|            |                         |                          |                        | to upgrade to these updated packages, which contain        |
|            |                         |                          |                        | backported patches to correct these issues. For the        |
|            |                         |                          |                        | update  to take effect, all services linked to the OpenSSL |
|            |                         |                          |                        | library must be  restarted, or the system rebooted.        |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:0301            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:1025     | pcre                     | 8.32-14.el7            | PCRE is a Perl-compatible regular expression library.      |
|            |                         |                          |                        | Security Fix(es): * Multiple flaws were found in the       |
|            |                         |                          |                        | way PCRE handled malformed regular expressions. An         |
|            |                         |                          |                        | attacker able to make an application using PCRE process    |
|            |                         |                          |                        | a specially crafted regular expression could use these     |
|            |                         |                          |                        | flaws to cause the application to crash or, possibly,      |
|            |                         |                          |                        | execute arbitrary code. (CVE-2015-8385, CVE-2016-3191,     |
|            |                         |                          |                        | CVE-2015-2328, CVE-2015-3217, CVE-2015-5073,               |
|            |                         |                          |                        | CVE-2015-8388, CVE-2015-8391, CVE-2015-8386)               |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:1025            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109     | perl-macros              | 4:5.16.3-285.el7       | Perl is a high-level programming language that is          |
|            |                         |                          |                        | commonly used for system administration utilities and      |
|            |                         |                          |                        | web programming. Security Fix(es): * perl: Integer         |
|            |                         |                          |                        | overflow leading to buffer overflow in Perl_my_setenv()    |
|            |                         |                          |                        | (CVE-2018-18311) For more details about the security       |
|            |                         |                          |                        | issue(s), including the impact, a CVSS score, and other    |
|            |                         |                          |                        | related information, refer to the CVE page(s) listed       |
|            |                         |                          |                        | in the References section. Red Hat would like to thank     |
|            |                         |                          |                        | the Perl project for reporting this issue. Upstream        |
|            |                         |                          |                        | acknowledges Jayakrishna Menon as the original reporter.   |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2019:0109            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:1292     | libxml2                  | 2.9.1-5.el7_1.2        | The libxml2 library is a development toolbox providing     |
|            |                         |                          |                        | the implementation of various XML standards. Security      |
|            |                         |                          |                        | Fix(es): A heap-based buffer overflow flaw was found       |
|            |                         |                          |                        | in the way libxml2 parsed certain crafted XML input.       |
|            |                         |                          |                        | A remote attacker could provide a specially crafted        |
|            |                         |                          |                        | XML file that, when opened in an application linked        |
|            |                         |                          |                        | against libxml2, would cause the application to crash      |
|            |                         |                          |                        | or execute arbitrary code with the permissions of          |
|            |                         |                          |                        | the user running the application. (CVE-2016-1834,          |
|            |                         |                          |                        | CVE-2016-1840) Multiple denial of service flaws were       |
|            |                         |                          |                        | found in libxml2. A remote attacker could provide a        |
|            |                         |                          |                        | specially crafted XML file that, when processed by an      |
|            |                         |                          |                        | application using libxml2, could cause that application    |
|            |                         |                          |                        | to crash.  (CVE-2016-1762, CVE-2016-1833, CVE-2016-1835,   |
|            |                         |                          |                        | CVE-2016-1836, CVE-2016-1837, CVE-2016-1838,               |
|            |                         |                          |                        | CVE-2016-1839, CVE-2016-3627, CVE-2016-3705,               |
|            |                         |                          |                        | CVE-2016-4447, CVE-2016-4448, CVE-2016-4449)               |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:1292            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:2832     | nss                      | 3.19.1-5.el7_1         | Network Security Services (NSS) is a set of libraries      |
|            |                         |                          |                        | designed to support the cross-platform development         |
|            |                         |                          |                        | of security-enabled client and server applications.        |
|            |                         |                          |                        | Security Fix(es): * A use-after-free flaw was found        |
|            |                         |                          |                        | in the TLS 1.2 implementation in the NSS library when      |
|            |                         |                          |                        | client authentication was used. A malicious client         |
|            |                         |                          |                        | could use this flaw to cause an application compiled       |
|            |                         |                          |                        | against NSS to crash or, potentially, execute arbitrary    |
|            |                         |                          |                        | code with the permission of the user running the           |
|            |                         |                          |                        | application. (CVE-2017-7805) Red Hat would like to thank   |
|            |                         |                          |                        | the Mozilla project for reporting this issue. Upstream     |
|            |                         |                          |                        | acknowledges Martin Thomson as the original reporter.      |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:2832            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1587     | python-libs              | 2.7.5-18.el7_1.1       | Python is an interpreted, interactive, object-oriented     |
|            |                         |                          |                        | programming language, which includes modules, classes,     |
|            |                         |                          |                        | exceptions, very high level dynamic data types and         |
|            |                         |                          |                        | dynamic typing. Python supports interfaces to many system  |
|            |                         |                          |                        | calls and libraries, as well as to various windowing       |
|            |                         |                          |                        | systems. Security Fix(es): * python: regression of         |
|            |                         |                          |                        | CVE-2019-9636 due to functional fix to allow port numbers  |
|            |                         |                          |                        | in netloc (CVE-2019-10160) For more details about the      |
|            |                         |                          |                        | security issue(s), including the impact, a CVSS score,     |
|            |                         |                          |                        | acknowledgments, and other related information, refer      |
|            |                         |                          |                        | to the CVE page(s) listed in the References section.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2019:1587            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0163     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux kernel, the core     |
|            |                         |                          |                        | of any Linux operating system. Security Fix(es): *         |
|            |                         |                          |                        | kernel: Use-after-free due to race condition in AF_PACKET  |
|            |                         |                          |                        | implementation (CVE-2018-18559) * kernel: userfaultfd      |
|            |                         |                          |                        | bypasses tmpfs file permissions (CVE-2018-18397) For       |
|            |                         |                          |                        | more details about the security issue(s), including the    |
|            |                         |                          |                        | impact, a CVSS score, and other related information,       |
|            |                         |                          |                        | refer to the CVE page(s) listed in the References          |
|            |                         |                          |                        | section. Bug Fix(es): These updated kernel packages        |
|            |                         |                          |                        | include also numerous bug fixes and enhancements. Space    |
|            |                         |                          |                        | precludes documenting all of the bug fixes in this         |
|            |                         |                          |                        | advisory. See the descriptions in the related Knowledge    |
|            |                         |                          |                        | Article: https://access.redhat.com/articles/3827321        |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2019:0163            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1629     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux kernel, the core     |
|            |                         |                          |                        | of any Linux operating system. Security Fix(es): * An      |
|            |                         |                          |                        | industry-wide issue was found in the way many modern       |
|            |                         |                          |                        | microprocessor designs have implemented speculative        |
|            |                         |                          |                        | execution of Load & Store instructions (a commonly used    |
|            |                         |                          |                        | performance optimization). It relies on the presence of a  |
|            |                         |                          |                        | precisely-defined instruction sequence in the privileged   |
|            |                         |                          |                        | code as well as the fact that memory read from address     |
|            |                         |                          |                        | to which a recent memory write has occurred may see        |
|            |                         |                          |                        | an older value and subsequently cause an update into       |
|            |                         |                          |                        | the microprocessor's data cache even for speculatively     |
|            |                         |                          |                        | executed instructions that never actually commit           |
|            |                         |                          |                        | (retire). As a result, an unprivileged attacker could      |
|            |                         |                          |                        | use this flaw to read privileged memory by conducting      |
|            |                         |                          |                        | targeted cache side-channel attacks. (CVE-2018-3639)       |
|            |                         |                          |                        | Note: This issue is present in hardware and cannot be      |
|            |                         |                          |                        | fully fixed via software update. The updated kernel        |
|            |                         |                          |                        | packages provide software side of the mitigation for       |
|            |                         |                          |                        | this hardware issue. To be fully functional, up-to-date    |
|            |                         |                          |                        | CPU microcode applied on the system is required. Please    |
|            |                         |                          |                        | refer to References section for further information about  |
|            |                         |                          |                        | this issue, CPU microcode requirements and the potential   |
|            |                         |                          |                        | performance impact. In this update mitigations for x86-64  |
|            |                         |                          |                        | architecture are provided. Red Hat would like to thank     |
|            |                         |                          |                        | Ken Johnson (Microsoft Security Response Center) and Jann  |
|            |                         |                          |                        | Horn (Google Project Zero) for reporting this issue.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:1629            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0710     | python-libs              | 2.7.5-18.el7_1.1       | Python is an interpreted, interactive, object-oriented     |
|            |                         |                          |                        | programming language, which includes modules, classes,     |
|            |                         |                          |                        | exceptions, very high level dynamic data types and         |
|            |                         |                          |                        | dynamic typing. Python supports interfaces to many         |
|            |                         |                          |                        | system calls and libraries, as well as to various          |
|            |                         |                          |                        | windowing systems. Security Fix(es): * python:             |
|            |                         |                          |                        | Information Disclosure due to urlsplit improper NFKC       |
|            |                         |                          |                        | normalization (CVE-2019-9636) For more details about the   |
|            |                         |                          |                        | security issue(s), including the impact, a CVSS score,     |
|            |                         |                          |                        | acknowledgments, and other related information, refer      |
|            |                         |                          |                        | to the CVE page(s) listed in the References section.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2019:0710            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1365     | nss                      | 3.19.1-5.el7_1         | Network Security Services (NSS) is a set of libraries      |
|            |                         |                          |                        | designed to support the cross-platform development of      |
|            |                         |                          |                        | security-enabled client and server applications. Security  |
|            |                         |                          |                        | Fix(es): * A null pointer dereference flaw was found in    |
|            |                         |                          |                        | the way NSS handled empty SSLv2 messages. An attacker      |
|            |                         |                          |                        | could use this flaw to crash a server application          |
|            |                         |                          |                        | compiled against the NSS library. (CVE-2017-7502)          |
|            |                         |                          |                        | Bug Fix(es): * The Network Security Services (NSS)         |
|            |                         |                          |                        | code and Certificate Authority (CA) list have been         |
|            |                         |                          |                        | updated to meet the recommendations as published with      |
|            |                         |                          |                        | the latest Mozilla Firefox Extended Support Release        |
|            |                         |                          |                        | (ESR). The updated CA list improves compatibility          |
|            |                         |                          |                        | with the certificates that are used in the Internet        |
|            |                         |                          |                        | Public Key Infrastructure (PKI). To avoid certificate      |
|            |                         |                          |                        | validation refusals, Red Hat recommends installing         |
|            |                         |                          |                        | the updated CA list on June 12, 2017. (BZ#1451421)         |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1365            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2181     | gnupg2                   | 2.0.22-3.el7           | The GNU Privacy Guard (GnuPG or GPG) is a tool for         |
|            |                         |                          |                        | encrypting data and creating digital signatures, compliant |
|            |                         |                          |                        | with OpenPGP and S/MIME standards. Security Fix(es): *     |
|            |                         |                          |                        | gnupg2: Improper sanitization of filenames allows for      |
|            |                         |                          |                        | the display of fake status messages and the bypass of      |
|            |                         |                          |                        | signature verification (CVE-2018-12020) For more details   |
|            |                         |                          |                        | about the security issue(s), including the impact, a       |
|            |                         |                          |                        | CVSS score, and other related information, refer to        |
|            |                         |                          |                        | the CVE page(s) listed in the References section.          |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:2181            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:3408     | perl-Git                 | 1.8.3.1-4.el7          | Git is a distributed revision control system with a        |
|            |                         |                          |                        | decentralized architecture. As opposed to centralized      |
|            |                         |                          |                        | version control systems with a client-server model,        |
|            |                         |                          |                        | Git ensures that each working copy of a Git repository     |
|            |                         |                          |                        | is an exact copy with complete revision history. This      |
|            |                         |                          |                        | not only allows the user to work on and contribute to      |
|            |                         |                          |                        | projects without the need to have permission to push       |
|            |                         |                          |                        | the changes to their official repositories, but also       |
|            |                         |                          |                        | makes it possible for the user to work with no network     |
|            |                         |                          |                        | connection. Security Fix(es): * git: arbitrary code        |
|            |                         |                          |                        | execution via .gitmodules (CVE-2018-17456) For more        |
|            |                         |                          |                        | details about the security issue(s), including the         |
|            |                         |                          |                        | impact, a CVSS score, and other related information, refer |
|            |                         |                          |                        | to the CVE page(s) listed in the References section.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:3408            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:2484     | perl-Git                 | 1.8.3.1-4.el7          | Git is a distributed revision control system with a        |
|            |                         |                          |                        | decentralized architecture. As opposed to centralized      |
|            |                         |                          |                        | version control systems with a client-server model,        |
|            |                         |                          |                        | Git ensures that each working copy of a Git repository     |
|            |                         |                          |                        | is an exact copy with complete revision history. This      |
|            |                         |                          |                        | not only allows the user to work on and contribute to      |
|            |                         |                          |                        | projects without the need to have permission to push the   |
|            |                         |                          |                        | changes to their official repositories, but also makes it  |
|            |                         |                          |                        | possible for the user to work with no network connection.  |
|            |                         |                          |                        | Security Fix(es): * A shell command injection flaw related |
|            |                         |                          |                        | to the handling of "ssh" URLs has been discovered in       |
|            |                         |                          |                        | Git. An attacker could use this flaw to execute shell      |
|            |                         |                          |                        | commands with the privileges of the user running the Git   |
|            |                         |                          |                        | client, for example, when performing a "clone" action      |
|            |                         |                          |                        | on a malicious repository or a legitimate repository       |
|            |                         |                          |                        | containing a malicious commit. (CVE-2017-1000117)          |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:2484            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1957     | perl-Git                 | 1.8.3.1-4.el7          | Git is a distributed revision control system with a        |
|            |                         |                          |                        | decentralized architecture. As opposed to centralized      |
|            |                         |                          |                        | version control systems with a client-server model, Git    |
|            |                         |                          |                        | ensures that each working copy of a Git repository is an   |
|            |                         |                          |                        | exact copy with complete revision history. This not only   |
|            |                         |                          |                        | allows the user to work on and contribute to projects      |
|            |                         |                          |                        | without the need to have permission to push the changes    |
|            |                         |                          |                        | to their official repositories, but also makes it possible |
|            |                         |                          |                        | for the user to work with no network connection. Security  |
|            |                         |                          |                        | Fix(es): * git: arbitrary code execution when recursively  |
|            |                         |                          |                        | cloning a malicious repository (CVE-2018-11235) For        |
|            |                         |                          |                        | more details about the security issue(s), including the    |
|            |                         |                          |                        | impact, a CVSS score, and other related information, refer |
|            |                         |                          |                        | to the CVE page(s) listed in the References section.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:1957            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:0496     | perl-Git                 | 1.8.3.1-4.el7          | Git is a distributed revision control system with a        |
|            |                         |                          |                        | decentralized architecture. As opposed to centralized      |
|            |                         |                          |                        | version control systems with a client-server model,        |
|            |                         |                          |                        | Git ensures that each working copy of a Git repository     |
|            |                         |                          |                        | is an exact copy with complete revision history. This      |
|            |                         |                          |                        | not only allows the user to work on and contribute to      |
|            |                         |                          |                        | projects without the need to have permission to push       |
|            |                         |                          |                        | the changes to their official repositories, but also       |
|            |                         |                          |                        | makes it possible for the user to work with no network     |
|            |                         |                          |                        | connection. An integer truncation flaw and an integer      |
|            |                         |                          |                        | overflow flaw, both leading to a heap-based buffer         |
|            |                         |                          |                        | overflow, were found in the way Git processed certain      |
|            |                         |                          |                        | path information. A remote attacker could create a         |
|            |                         |                          |                        | specially crafted Git repository that would cause a Git    |
|            |                         |                          |                        | client or server to crash or, possibly, execute arbitrary  |
|            |                         |                          |                        | code. (CVE-2016-2315, CVE-2016-2324) All git users are     |
|            |                         |                          |                        | advised to upgrade to these updated packages, which        |
|            |                         |                          |                        | contain backported patches to correct these issues.        |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2016:0496            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2015:2172     | glibc-common             | 2.17-78.el7            | The glibc packages provide the standard C libraries        |
|            |                         |                          |                        | (libc), POSIX thread libraries (libpthread), standard      |
|            |                         |                          |                        | math libraries (libm), and the Name Server Caching         |
|            |                         |                          |                        | Daemon (nscd) used by multiple programs on the system.     |
|            |                         |                          |                        | Without these libraries, the Linux system cannot function  |
|            |                         |                          |                        | correctly. It was discovered that the nss_files backend    |
|            |                         |                          |                        | for the Name Service Switch in glibc would return          |
|            |                         |                          |                        | incorrect data to applications or corrupt the heap         |
|            |                         |                          |                        | (depending on adjacent heap contents) in certain cases.    |
|            |                         |                          |                        | A local attacker could potentially use this flaw to        |
|            |                         |                          |                        | escalate their privileges. (CVE-2015-5277) This issue was  |
|            |                         |                          |                        | discovered by Sumit Bose and Lukáš Slebodník of Red Hat.   |
|            |                         |                          |                        | All glibc users are advised to upgrade to these updated    |
|            |                         |                          |                        | packages, which contain a backported patch to correct this |
|            |                         |                          |                        | issue.  https://access.redhat.com/errata/RHSA-2015:2172    |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1481     | glibc-common             | 2.17-78.el7            | The glibc packages provide the standard C libraries        |
|            |                         |                          |                        | (libc), POSIX thread libraries (libpthread), standard math |
|            |                         |                          |                        | libraries (libm), and the name service cache daemon (nscd) |
|            |                         |                          |                        | used by multiple programs on the system. Without these     |
|            |                         |                          |                        | libraries, the Linux system cannot function correctly.     |
|            |                         |                          |                        | Security Fix(es): * A flaw was found in the way memory was |
|            |                         |                          |                        | being allocated on the stack for user space binaries. If   |
|            |                         |                          |                        | heap (or different memory region) and stack memory regions |
|            |                         |                          |                        | were adjacent to each other, an attacker could use this    |
|            |                         |                          |                        | flaw to jump over the stack guard gap, cause controlled    |
|            |                         |                          |                        | memory corruption on process stack or the adjacent memory  |
|            |                         |                          |                        | region, and thus increase their privileges on the system.  |
|            |                         |                          |                        | This is glibc-side mitigation which blocks processing of   |
|            |                         |                          |                        | LD_LIBRARY_PATH for programs running in secure-execution   |
|            |                         |                          |                        | mode and reduces the number of allocations performed by    |
|            |                         |                          |                        | the processing of LD_AUDIT, LD_PRELOAD, and LD_HWCAP_MASK, |
|            |                         |                          |                        | making successful exploitation of this issue more          |
|            |                         |                          |                        | difficult. (CVE-2017-1000366) Red Hat would like to        |
|            |                         |                          |                        | thank Qualys Research Labs for reporting this issue.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1481            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1619     | vim-minimal              | 2:7.4.160-1.el7        | Vim (Vi IMproved) is an updated and improved version       |
|            |                         |                          |                        | of the vi editor. Security Fix(es): * vim/neovim:          |
|            |                         |                          |                        | ':source!' command allows arbitrary command execution      |
|            |                         |                          |                        | via modelines (CVE-2019-12735) For more details about the  |
|            |                         |                          |                        | security issue(s), including the impact, a CVSS score,     |
|            |                         |                          |                        | acknowledgments, and other related information, refer      |
|            |                         |                          |                        | to the CVE page(s) listed in the References section.       |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2019:1619            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109     | perl-Pod-Escapes         | 1:1.04-285.el7         | Perl is a high-level programming language that is          |
|            |                         |                          |                        | commonly used for system administration utilities and      |
|            |                         |                          |                        | web programming. Security Fix(es): * perl: Integer         |
|            |                         |                          |                        | overflow leading to buffer overflow in Perl_my_setenv()    |
|            |                         |                          |                        | (CVE-2018-18311) For more details about the security       |
|            |                         |                          |                        | issue(s), including the impact, a CVSS score, and other    |
