+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                 |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:2768 | nss-tools                   | 3.28.4-15.el7_4        | Network Security Services (NSS) is a            |
|            |                       |                             |                        | set of libraries designed to support the        |
|            |                       |                             |                        | cross-platform development of security-enabled  |
|            |                       |                             |                        | client and server applications. Security        |
|            |                       |                             |                        | Fix(es): * nss: ServerHello.random is all       |
|            |                       |                             |                        | zeros when handling a v2-compatible ClientHello |
|            |                       |                             |                        | (CVE-2018-12384) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a CVSS |
|            |                       |                             |                        | score, and other related information, refer     |
|            |                       |                             |                        | to the CVE page(s) listed in the References     |
|            |                       |                             |                        | section. Red Hat would like to thank the        |
|            |                       |                             |                        | Mozilla project for reporting this issue.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2768 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:0805 | glibc-common                | 2.17-196.el7_4.2       | The glibc packages provide the standard C       |
|            |                       |                             |                        | libraries (libc), POSIX thread libraries        |
|            |                       |                             |                        | (libpthread), standard math libraries           |
|            |                       |                             |                        | (libm), and the name service cache daemon       |
|            |                       |                             |                        | (nscd) used by multiple programs on the         |
|            |                       |                             |                        | system. Without these libraries, the Linux      |
|            |                       |                             |                        | system cannot function correctly. Security      |
|            |                       |                             |                        | Fix(es): * glibc: realpath() buffer underflow   |
|            |                       |                             |                        | when getcwd() returns relative path allows      |
|            |                       |                             |                        | privilege escalation (CVE-2018-1000001)         |
|            |                       |                             |                        | * glibc: Buffer overflow in glob with           |
|            |                       |                             |                        | GLOB_TILDE (CVE-2017-15670) * glibc: Buffer     |
|            |                       |                             |                        | overflow during unescaping of user names        |
|            |                       |                             |                        | with the ~ operator (CVE-2017-15804) * glibc:   |
|            |                       |                             |                        | denial of service in getnetbyname function      |
|            |                       |                             |                        | (CVE-2014-9402) * glibc: DNS resolver NULL      |
|            |                       |                             |                        | pointer dereference with crafted record type    |
|            |                       |                             |                        | (CVE-2015-5180) * glibc: Fragmentation attacks  |
|            |                       |                             |                        | possible when EDNS0 is enabled (CVE-2017-12132) |
|            |                       |                             |                        | For more details about the security issue(s),   |
|            |                       |                             |                        | including the impact, a CVSS score, and other   |
|            |                       |                             |                        | related information, refer to the CVE page(s)   |
|            |                       |                             |                        | listed in the References section. Red Hat       |
|            |                       |                             |                        | would like to thank halfdog for reporting       |
|            |                       |                             |                        | CVE-2018-1000001. The CVE-2015-5180 issue was   |
|            |                       |                             |                        | discovered by Florian Weimer (Red Hat Product   |
|            |                       |                             |                        | Security). Additional Changes: For detailed     |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.5 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:0805 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2237 | nss-sysinit                 | 3.28.4-15.el7_4        | Network Security Services (NSS) is a            |
|            |                       |                             |                        | set of libraries designed to support the        |
|            |                       |                             |                        | cross-platform development of security-enabled  |
|            |                       |                             |                        | client and server applications. Netscape        |
|            |                       |                             |                        | Portable Runtime (NSPR) provides platform       |
|            |                       |                             |                        | independence for non-GUI operating system       |
|            |                       |                             |                        | facilities. The following packages have been    |
|            |                       |                             |                        | upgraded to a later upstream version: nss       |
|            |                       |                             |                        | (3.44.0), nss-softokn (3.44.0), nss-util        |
|            |                       |                             |                        | (3.44.0), nspr (4.21.0). (BZ#1645231,           |
|            |                       |                             |                        | BZ#1692269, BZ#1692271, BZ#1692274) Security    |
|            |                       |                             |                        | Fix(es): * ROHNP: Key Extraction Side Channel   |
|            |                       |                             |                        | in Multiple Crypto Libraries (CVE-2018-0495)    |
|            |                       |                             |                        | * nss: Cache side-channel variant of the        |
|            |                       |                             |                        | Bleichenbacher attack (CVE-2018-12404) For more |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3092 | glibc                       | 2.17-196.el7_4.2       | The glibc packages provide the standard C       |
|            |                       |                             |                        | libraries (libc), POSIX thread libraries        |
|            |                       |                             |                        | (libpthread), standard math libraries (libm),   |
|            |                       |                             |                        | and the name service cache daemon (nscd) used   |
|            |                       |                             |                        | by multiple programs on the system. Without     |
|            |                       |                             |                        | these libraries, the Linux system cannot        |
|            |                       |                             |                        | function correctly. Security Fix(es): * glibc:  |
|            |                       |                             |                        | Incorrect handling of RPATH in elf/dl-load.c    |
|            |                       |                             |                        | can be used to execute code loaded from         |
|            |                       |                             |                        | arbitrary libraries (CVE-2017-16997) * glibc:   |
|            |                       |                             |                        | Integer overflow in posix_memalign in memalign  |
|            |                       |                             |                        | functions (CVE-2018-6485) * glibc: Integer      |
|            |                       |                             |                        | overflow in stdlib/canonicalize.c on 32-bit     |
|            |                       |                             |                        | architectures leading to stack-based buffer     |
|            |                       |                             |                        | overflow (CVE-2018-11236) * glibc: Buffer       |
|            |                       |                             |                        | overflow in __mempcpy_avx512_no_vzeroupper      |
|            |                       |                             |                        | (CVE-2018-11237) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a CVSS |
|            |                       |                             |                        | score, and other related information, refer     |
|            |                       |                             |                        | to the CVE page(s) listed in the References     |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.6 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3092 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2030 | python-libs                 | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions,          |
|            |                       |                             |                        | very high level dynamic data types and          |
|            |                       |                             |                        | dynamic typing. Python supports interfaces      |
|            |                       |                             |                        | to many system calls and libraries, as          |
|            |                       |                             |                        | well as to various windowing systems.           |
|            |                       |                             |                        | Security Fix(es): * python: Missing salt        |
|            |                       |                             |                        | initialization in _elementtree.c module         |
|            |                       |                             |                        | (CVE-2018-14647) * python: NULL pointer         |
|            |                       |                             |                        | dereference using a specially crafted           |
|            |                       |                             |                        | X509 certificate (CVE-2019-5010) * python:      |
|            |                       |                             |                        | CRLF injection via the query part of the        |
|            |                       |                             |                        | url passed to urlopen() (CVE-2019-9740) *       |
|            |                       |                             |                        | python: CRLF injection via the path part of     |
|            |                       |                             |                        | the url passed to urlopen() (CVE-2019-9947)     |
|            |                       |                             |                        | * python: Undocumented local_file protocol      |
|            |                       |                             |                        | allows remote attackers to bypass protection    |
|            |                       |                             |                        | mechanisms (CVE-2019-9948) For more details     |
|            |                       |                             |                        | about the security issue(s), including          |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2030 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2118 | glibc                       | 2.17-196.el7_4.2       | The glibc packages provide the standard C       |
|            |                       |                             |                        | libraries (libc), POSIX thread libraries        |
|            |                       |                             |                        | (libpthread), standard math libraries (libm),   |
|            |                       |                             |                        | and the name service cache daemon (nscd) used   |
|            |                       |                             |                        | by multiple programs on the system. Without     |
|            |                       |                             |                        | these libraries, the Linux system cannot        |
|            |                       |                             |                        | function correctly. Security Fix(es): * glibc:  |
|            |                       |                             |                        | getaddrinfo should reject IP addresses with     |
|            |                       |                             |                        | trailing characters (CVE-2016-10739) For more   |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2118 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3041 | python-libs                 | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to           |
|            |                       |                             |                        | many system calls and libraries, as well        |
|            |                       |                             |                        | as to various windowing systems. Security       |
|            |                       |                             |                        | Fix(es): * python: DOS via regular expression   |
|            |                       |                             |                        | backtracking in difflib.IS_LINE_JUNK method     |
|            |                       |                             |                        | in difflib (CVE-2018-1061) * python: DOS via    |
|            |                       |                             |                        | regular expression catastrophic backtracking    |
|            |                       |                             |                        | in apop() method in pop3lib (CVE-2018-1060)     |
|            |                       |                             |                        | For more details about the security issue(s),   |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the CVE     |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | Red Hat would like to thank the Python          |
|            |                       |                             |                        | security response team for reporting these      |
|            |                       |                             |                        | issues. Additional Changes: For detailed        |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.6 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3041 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:2123 | python-libs                 | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions, very     |
|            |                       |                             |                        | high level dynamic data types and dynamic       |
|            |                       |                             |                        | typing. Python supports interfaces to many      |
|            |                       |                             |                        | system calls and libraries, as well as to       |
|            |                       |                             |                        | various windowing systems. Security Fix(es): *  |
|            |                       |                             |                        | A flaw was found in the way the DES/3DES cipher |
|            |                       |                             |                        | was used as part of the TLS/SSL protocol. A     |
|            |                       |                             |                        | man-in-the-middle attacker could use this flaw  |
|            |                       |                             |                        | to recover some plaintext data by capturing     |
|            |                       |                             |                        | large amounts of encrypted traffic between      |
|            |                       |                             |                        | TLS/SSL server and client if the communication  |
|            |                       |                             |                        | used a DES/3DES based ciphersuite.              |
|            |                       |                             |                        | (CVE-2016-2183) Note: This update modifies the  |
|            |                       |                             |                        | Python ssl module to disable 3DES cipher suites |
|            |                       |                             |                        | by default. Red Hat would like to thank OpenVPN |
|            |                       |                             |                        | for reporting this issue. Upstream acknowledges |
|            |                       |                             |                        | Karthikeyan Bhargavan (Inria) and Gaëtan        |
|            |                       |                             |                        | Leurent (Inria) as the original reporters.      |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2123 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2030 | python                      | 2.7.5-58.el7           | Python is an interpreted, interactive,          |
|            |                       |                             |                        | object-oriented programming language, which     |
|            |                       |                             |                        | includes modules, classes, exceptions,          |
|            |                       |                             |                        | very high level dynamic data types and          |
|            |                       |                             |                        | dynamic typing. Python supports interfaces      |
|            |                       |                             |                        | to many system calls and libraries, as          |
|            |                       |                             |                        | well as to various windowing systems.           |
|            |                       |                             |                        | Security Fix(es): * python: Missing salt        |
|            |                       |                             |                        | initialization in _elementtree.c module         |
|            |                       |                             |                        | (CVE-2018-14647) * python: NULL pointer         |
|            |                       |                             |                        | dereference using a specially crafted           |
|            |                       |                             |                        | X509 certificate (CVE-2019-5010) * python:      |
|            |                       |                             |                        | CRLF injection via the query part of the        |
|            |                       |                             |                        | url passed to urlopen() (CVE-2019-9740) *       |
|            |                       |                             |                        | python: CRLF injection via the path part of     |
|            |                       |                             |                        | the url passed to urlopen() (CVE-2019-9947)     |
|            |                       |                             |                        | * python: Undocumented local_file protocol      |
|            |                       |                             |                        | allows remote attackers to bypass protection    |
|            |                       |                             |                        | mechanisms (CVE-2019-9948) For more details     |
|            |                       |                             |                        | about the security issue(s), including          |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2030 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2091 | systemd-libs                | 219-42.el7_4.7         | The systemd packages contain systemd, a system  |
|            |                       |                             |                        | and service manager for Linux, compatible with  |
|            |                       |                             |                        | the SysV and LSB init scripts. It provides      |
|            |                       |                             |                        | aggressive parallelism capabilities, uses       |
|            |                       |                             |                        | socket and D-Bus activation for starting        |
|            |                       |                             |                        | services, offers on-demand starting of daemons, |
|            |                       |                             |                        | and keeps track of processes using Linux        |
|            |                       |                             |                        | cgroups. In addition, it supports snapshotting  |
|            |                       |                             |                        | and restoring of the system state, maintains    |
|            |                       |                             |                        | mount and automount points, and implements      |
|            |                       |                             |                        | an elaborate transactional dependency-based     |
|            |                       |                             |                        | service control logic. It can also work as      |
|            |                       |                             |                        | a drop-in replacement for sysvinit. Security    |
|            |                       |                             |                        | Fix(es): * systemd: line splitting via          |
|            |                       |                             |                        | fgets() allows for state injection during       |
|            |                       |                             |                        | daemon-reexec (CVE-2018-15686) * systemd:       |
|            |                       |                             |                        | out-of-bounds read when parsing a crafted       |
|            |                       |                             |                        | syslog message (CVE-2018-16866) * systemd:      |
|            |                       |                             |                        | kills privileged process if unprivileged        |
|            |                       |                             |                        | PIDFile was tampered (CVE-2018-16888) For more  |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2091 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2057 | bind-license                | 32:9.9.4-51.el7_4.2    | The Berkeley Internet Name Domain (BIND) is     |
|            |                       |                             |                        | an implementation of the Domain Name System     |
|            |                       |                             |                        | (DNS) protocols. BIND includes a DNS server     |
|            |                       |                             |                        | (named); a resolver library (routines for       |
|            |                       |                             |                        | applications to use when interfacing with       |
|            |                       |                             |                        | DNS); and tools for verifying that the DNS      |
|            |                       |                             |                        | server is operating correctly. The following    |
|            |                       |                             |                        | packages have been upgraded to a later upstream |
|            |                       |                             |                        | version: bind (9.11.4). (BZ#1640561) Security   |
|            |                       |                             |                        | Fix(es): * bind: Incorrect documentation        |
|            |                       |                             |                        | of krb5-subdomain and ms-subdomain update       |
|            |                       |                             |                        | policies (CVE-2018-5741) For more details       |
|            |                       |                             |                        | about the security issue(s), including          |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2057 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2237 | nss-util                    | 3.28.4-3.el7           | Network Security Services (NSS) is a            |
|            |                       |                             |                        | set of libraries designed to support the        |
|            |                       |                             |                        | cross-platform development of security-enabled  |
|            |                       |                             |                        | client and server applications. Netscape        |
|            |                       |                             |                        | Portable Runtime (NSPR) provides platform       |
|            |                       |                             |                        | independence for non-GUI operating system       |
|            |                       |                             |                        | facilities. The following packages have been    |
|            |                       |                             |                        | upgraded to a later upstream version: nss       |
|            |                       |                             |                        | (3.44.0), nss-softokn (3.44.0), nss-util        |
|            |                       |                             |                        | (3.44.0), nspr (4.21.0). (BZ#1645231,           |
|            |                       |                             |                        | BZ#1692269, BZ#1692271, BZ#1692274) Security    |
|            |                       |                             |                        | Fix(es): * ROHNP: Key Extraction Side Channel   |
|            |                       |                             |                        | in Multiple Crypto Libraries (CVE-2018-0495)    |
|            |                       |                             |                        | * nss: Cache side-channel variant of the        |
|            |                       |                             |                        | Bleichenbacher attack (CVE-2018-12404) For more |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:0194 | bind-license                | 32:9.9.4-51.el7_4.2    | The Berkeley Internet Name Domain (BIND) is     |
|            |                       |                             |                        | an implementation of the Domain Name System     |
|            |                       |                             |                        | (DNS) protocols. BIND includes a DNS server     |
|            |                       |                             |                        | (named); a resolver library (routines for       |
|            |                       |                             |                        | applications to use when interfacing with       |
|            |                       |                             |                        | DNS); and tools for verifying that the DNS      |
|            |                       |                             |                        | server is operating correctly. Security         |
|            |                       |                             |                        | Fix(es): * bind: Crash from assertion error     |
|            |                       |                             |                        | when debug log level is 10 and log entries      |
|            |                       |                             |                        | meet buffer boundary (CVE-2018-5742) For        |
